Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,234.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.125000mV
Time interval        :,100.00000us

index,CH1_Voltage(mV)
1,14.000000
2,14.000000
3,-4.000000
4,46.000000
5,-6.000000
6,-24.000000
7,-26.000000
8,-28.000000
9,24.000000
10,-24.000000
11,-6.000000
12,12.000000
13,-50.000000
14,50.000000
15,-4.000000
16,-40.000000
17,8.000000
18,10.000000
19,46.000000
20,14.000000
21,2.000000
22,6.000000
23,0.000000
24,50.000000
25,-74.000000
26,-44.000000
27,68.000000
28,-28.000000
29,42.000000
30,-10.000000
31,46.000000
32,-18.000000
33,-26.000000
34,-12.000000
35,12.000000
36,-4.000000
37,2.000000
38,12.000000
39,-8.000000
40,2.000000
41,14.000000
42,58.000000
43,-20.000000
44,22.000000
45,-28.000000
46,-54.000000
47,30.000000
48,-30.000000
49,-6.000000
50,-16.000000
51,-6.000000
52,-12.000000
53,2.000000
54,20.000000
55,22.000000
56,16.000000
57,-2.000000
58,14.000000
59,0.000000
60,0.000000
61,-22.000000
62,10.000000
63,-16.000000
64,-18.000000
65,58.000000
66,-6.000000
67,68.000000
68,-12.000000
69,2.000000
70,2.000000
71,-4.000000
72,6.000000
73,-42.000000
74,-4.000000
75,24.000000
76,0.000000
77,44.000000
78,-24.000000
79,4.000000
80,-8.000000
81,2.000000
82,-2.000000
83,-10.000000
84,-28.000000
85,0.000000
86,38.000000
87,12.000000
88,96.000000
89,-30.000000
90,14.000000
91,10.000000
92,-18.000000
93,8.000000
94,6.000000
95,-12.000000
96,-8.000000
97,34.000000
98,2.000000
99,62.000000
100,54.000000
101,-72.000000
102,-60.000000
103,14.000000
104,68.000000
105,0.000000
106,8.000000
107,72.000000
108,-36.000000
109,-68.000000
110,-16.000000
111,18.000000
112,2.000000
113,-4.000000
114,34.000000
115,-36.000000
116,-72.000000
117,0.000000
118,4.000000
119,-48.000000
120,14.000000
121,50.000000
122,-36.000000
123,26.000000
124,0.000000
125,42.000000
126,-12.000000
127,38.000000
128,-38.000000
129,2.000000
130,38.000000
131,-20.000000
132,-4.000000
133,18.000000
134,18.000000
135,-22.000000
136,-80.000000
137,-12.000000
138,-20.000000
139,14.000000
140,0.000000
141,8.000000
142,-20.000000
143,38.000000
144,-4.000000
145,64.000000
146,12.000000
147,14.000000
148,20.000000
149,-44.000000
150,6.000000
151,38.000000
152,62.000000
153,2.000000
154,54.000000
155,22.000000
156,18.000000
157,60.000000
158,-2.000000
159,0.000000
160,-6.000000
161,-4.000000
162,-4.000000
163,-16.000000
164,20.000000
165,-48.000000
166,-52.000000
167,12.000000
168,-30.000000
169,-16.000000
170,-16.000000
171,-26.000000
172,-20.000000
173,10.000000
174,-6.000000
175,26.000000
176,-16.000000
177,-48.000000
178,-36.000000
179,24.000000
180,10.000000
181,-26.000000
182,-16.000000
183,-22.000000
184,-32.000000
185,-2.000000
186,12.000000
187,-18.000000
188,-18.000000
189,-6.000000
190,-44.000000
191,30.000000
192,16.000000
193,8.000000
194,-14.000000
195,8.000000
196,20.000000
197,32.000000
198,20.000000
199,4.000000
200,-10.000000
201,28.000000
202,0.000000
203,-2.000000
204,-2.000000
205,-12.000000
206,32.000000
207,-6.000000
208,-74.000000
209,22.000000
210,22.000000
211,-6.000000
212,-48.000000
213,16.000000
214,14.000000
215,28.000000
216,16.000000
217,8.000000
218,-6.000000
219,48.000000
220,0.000000
221,-14.000000
222,-4.000000
223,-44.000000
224,-20.000000
225,28.000000
226,-20.000000
227,12.000000
228,2.000000
229,-26.000000
230,72.000000
231,38.000000
232,-10.000000
233,40.000000
234,12.000000
235,32.000000
236,-8.000000
237,-16.000000
238,-8.000000
239,-8.000000
240,-40.000000
241,46.000000
242,2.000000
243,8.000000
244,-18.000000
245,-26.000000
246,58.000000
247,-34.000000
248,-2.000000
249,-52.000000
250,-14.000000
251,2.000000
252,-4.000000
253,-24.000000
254,42.000000
255,-4.000000
256,-14.000000
257,42.000000
258,-4.000000
259,60.000000
260,-30.000000
261,-14.000000
262,58.000000
263,-4.000000
264,36.000000
265,-2.000000
266,4.000000
267,6.000000
268,-24.000000
269,34.000000
270,12.000000
271,24.000000
272,-14.000000
273,-8.000000
274,-38.000000
275,0.000000
276,-4.000000
277,10.000000
278,-28.000000
279,-26.000000
280,28.000000
281,60.000000
282,-76.000000
283,-64.000000
284,-12.000000
285,-24.000000
286,6.000000
287,-6.000000
288,24.000000
289,10.000000
290,40.000000
291,16.000000
292,-34.000000
293,-6.000000
294,0.000000
295,12.000000
296,30.000000
297,12.000000
298,6.000000
299,0.000000
300,10.000000
301,12.000000
302,70.000000
303,-4.000000
304,-22.000000
305,20.000000
306,-14.000000
307,-24.000000
308,-2.000000
309,-14.000000
310,8.000000
311,44.000000
312,-6.000000
313,-2.000000
314,14.000000
315,-4.000000
316,-2.000000
317,86.000000
318,-8.000000
319,-70.000000
320,14.000000
321,36.000000
322,-34.000000
323,-4.000000
324,8.000000
325,10.000000
326,-8.000000
327,28.000000
328,-32.000000
329,32.000000
330,-6.000000
331,-36.000000
332,0.000000
333,24.000000
334,68.000000
335,-16.000000
336,-8.000000
337,-2.000000
338,-2.000000
339,-30.000000
340,-72.000000
341,-4.000000
342,50.000000
343,2.000000
344,0.000000
345,-44.000000
346,120.000000
347,-30.000000
348,-56.000000
349,-8.000000
350,2.000000
351,-48.000000
352,-22.000000
353,16.000000
354,-72.000000
355,6.000000
356,46.000000
357,-4.000000
358,20.000000
359,48.000000
360,-30.000000
361,-72.000000
362,2.000000
363,-22.000000
364,-22.000000
365,4.000000
366,-16.000000
367,-4.000000
368,0.000000
369,-12.000000
370,-14.000000
371,-6.000000
372,-16.000000
373,2.000000
374,26.000000
375,-20.000000
376,-30.000000
377,-20.000000
378,-30.000000
379,-24.000000
380,14.000000
381,0.000000
382,86.000000
383,-8.000000
384,30.000000
385,50.000000
386,-2.000000
387,-114.000000
388,12.000000
389,-62.000000
390,14.000000
391,-12.000000
392,-12.000000
393,54.000000
394,-16.000000
395,10.000000
396,-6.000000
397,2.000000
398,-22.000000
399,-38.000000
400,-16.000000
401,14.000000
402,-18.000000
403,64.000000
404,46.000000
405,-8.000000
406,-6.000000
407,-26.000000
408,38.000000
409,4.000000
410,-4.000000
411,-40.000000
412,-26.000000
413,50.000000
414,-16.000000
415,-16.000000
416,-22.000000
417,6.000000
418,-2.000000
419,-48.000000
420,-4.000000
421,34.000000
422,28.000000
423,-30.000000
424,-16.000000
425,-22.000000
426,16.000000
427,2.000000
428,-12.000000
429,8.000000
430,-4.000000
431,-52.000000
432,10.000000
433,2.000000
434,12.000000
435,-12.000000
436,-24.000000
437,16.000000
438,20.000000
439,26.000000
440,10.000000
441,-26.000000
442,-4.000000
443,0.000000
444,2.000000
445,30.000000
446,4.000000
447,6.000000
448,4.000000
449,2.000000
450,-24.000000
451,-32.000000
452,-32.000000
453,-12.000000
454,-8.000000
455,40.000000
456,-8.000000
457,14.000000
458,-6.000000
459,-18.000000
460,8.000000
461,44.000000
462,-2.000000
463,30.000000
464,-32.000000
465,-20.000000
466,-16.000000
467,-46.000000
468,-18.000000
469,42.000000
470,-58.000000
471,-16.000000
472,14.000000
473,-40.000000
474,12.000000
475,-18.000000
476,18.000000
477,44.000000
478,-34.000000
479,-12.000000
480,-6.000000
481,10.000000
482,-36.000000
483,6.000000
484,-22.000000
485,22.000000
486,8.000000
487,10.000000
488,-30.000000
489,54.000000
490,-38.000000
491,-34.000000
492,26.000000
493,-16.000000
494,-12.000000
495,4.000000
496,44.000000
497,-30.000000
498,30.000000
499,10.000000
500,8.000000
501,-12.000000
502,-54.000000
503,-2.000000
504,-56.000000
505,-12.000000
506,-14.000000
507,4.000000
508,2.000000
509,50.000000
510,-64.000000
511,14.000000
512,58.000000
513,-56.000000
514,-54.000000
515,-34.000000
516,-16.000000
517,-12.000000
518,-4.000000
519,-20.000000
520,54.000000
521,-20.000000
522,8.000000
523,-20.000000
524,34.000000
525,-2.000000
526,24.000000
527,-18.000000
528,-4.000000
529,-82.000000
530,24.000000
531,20.000000
532,-12.000000
533,2.000000
534,-54.000000
535,14.000000
536,-16.000000
537,-4.000000
538,-14.000000
539,24.000000
540,46.000000
541,-20.000000
542,-50.000000
543,58.000000
